County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Shelby,Illinois,22363,1984,17406358.81
Tazewell,Illinois,135394,1696,22506204.06
Woodford,Illinois,38664,1400,18599664.02
Knox,Illinois,52919,1866,24746993.9
Adams,Illinois,67103,2256,14914652.42
McLean,Illinois,169572,3074,45270098.07
Mason,Illinois,14666,1458,14086758.04
Menard,Illinois,12705,817,7584601.45
Henry,Illinois,50486,2149,31933377.8
Mercer,Illinois,16434,1478,17756360.89
Crawford,Illinois,19817,1162,5790904.28
Will,Illinois,677560,2202,24360079.42
Morgan,Indiana,68894,1062,6079791.36
Vermillion,Indiana,16212,673,4521436.41
Putnam,Indiana,37963,1250,8690964.8
Tippecanoe,Indiana,172780,1303,15155239.44
White,Indiana,24643,1322,17373064.59
Wells,Indiana,27636,955,15565300.03
Allen,Indiana,355329,1708,23343080.45
Hendricks,Indiana,145448,1054,9674328.74
Porter,Indiana,164343,1091,11744861.67
Jennings,Indiana,28525,977,5441222.6
Daviess,Indiana,31648,1135,8898672.89
Dubois,Indiana,41889,1118,13687067.33
Monroe,Indiana,137974,1056,6110702.6
Harrison,Indiana,39364,1268,4044135.78
Clayton,Iowa,18129,2053,20269093.27
Sibley,Minnesota,15226,1543,23168029.7
Reno,Kansas,64511,3292,17094237.87
Marion,Kansas,12660,2466,9189657.77
Geary,Kansas,34362,1032,1961944.18
Pottawatomie,Kansas,21604,2235,5889953.67
Riley,Kansas,71115,1628,4112796.96
Osage,Kansas,16295,1870,3557816.28
Butler,Kansas,65880,3743,10124197.57
Cowley,Kansas,36311,2922,7051784.14
Doniphan,Kansas,7945,1029,6957012.73
Atchison,Kansas,16924,1125,4281263.82
Douglas,Kansas,110826,1234,3985569.23
Jefferson,Kansas,19126,1439,3051618.21
Johnson,Kansas,544179,1239,9949860.5
Leavenworth,Kansas,76227,1218,3010108.15
Wyandotte,Kansas,157505,403,3312955.12
Sedgwick,Kansas,498365,2616,21597430.15
Johnson,Kentucky,23356,682,1077379.08
Lawrence,Kentucky,15860,1093,1032565.56
Pike,Kentucky,65024,2051,5960329.67
Christian,Kentucky,73955,1875,14991822.91
Knott,Kentucky,16346,916,387062.16
Letcher,Kentucky,24519,879,7756052.55
Hancock,Kentucky,8565,508,1526435.24
Washington,Kentucky,11717,780,806214.48
Henderson,Kentucky,46250,1203,7603932.61
McLean,Kentucky,9531,663,6748712.26
Caldwell,Kentucky,12984,900,6913632.46
Hardin,Kentucky,105543,1633,6410112.11
Meade,Kentucky,28602,827,2660625.7
Powell,Kentucky,12613,469,1005862.72
Anderson,Kentucky,21421,530,516878.66
Webster,Louisiana,41207,1601,4006948.83
Bienville,Louisiana,14353,2133,5891453.07
De Soto,Louisiana,26656,2317,6321344.69
Natchitoches,Louisiana,39566,3366,47082719.4
Red River,Louisiana,9091,1043,9003711.16
Sabine,Louisiana,24233,2617,24662640.77
Vernon,Louisiana,52334,3475,7261765.91
Avoyelles,Louisiana,42073,2236,18245181.72
Catahoula,Louisiana,10407,1918,9280301.35
Concordia,Louisiana,20822,1915,13664556.2
Morehouse,Louisiana,27979,2074,17955059.23
Ouachita,Louisiana,153720,1638,17298041.57
Berkshire,Massachusetts,131219,2460,2596922.97
Barnstable,Massachusetts,215888,1110,5328165.73
Nantucket,Massachusetts,10172,147,173752.67
Hampden,Massachusetts,463490,1640,11444042.59
Norfolk,Massachusetts,670850,1057,10387517.8
Bristol,Massachusetts,548285,1483,9722655.7
Dukes,Massachusetts,16535,291,1087226.03
Plymouth,Massachusetts,494919,1808,7566406.17
Franklin,Massachusetts,71372,1876,2522967.8
Hampshire,Massachusetts,158080,1412,4619759.78
Worcester,Massachusetts,798552,4088,13916926.07
Essex,Massachusetts,743159,1345,11941068.18
Middlesex,Massachusetts,1503085,2197,22874735.34
Livingston,Michigan,180967,1522,5324241.62
Oakland,Michigan,1202362,2358,19402114.95
Tuscola,Michigan,55729,2106,16071346.04
Dickinson,Michigan,26168,2005,19022923.7
Ozark,Missouri,9723,1957,829348
Marquette,Michigan,67077,4853,20963285.89
Menominee,Michigan,24029,2718,9275988.63
Alcona,Michigan,10942,1803,1032194.24
Alger,Michigan,9601,2453,4661679.93
Antrim,Michigan,23580,1357,2808464.59
Charlevoix,Michigan,25949,1188,850609.17
Cheboygan,Michigan,26152,2055,1333200.01
Emmet,Michigan,32694,1261,2023085.53
Luce,Michigan,6631,2404,3534157.54
Mackinac,Michigan,11113,2769,2548514.27
Presque Isle,Michigan,13376,1784,2185969.61
Washington,Minnesota,238136,1118,11200770.12
Pike,Missouri,18516,1758,8174427.93
Montgomery,Missouri,12236,1402,6163795.42
Warren,Missouri,32513,1147,3362416.1
Jefferson,Missouri,218733,1719,3660306.41
St. Charles,Missouri,360485,1536,9830433.98
St. Louis,Missouri,998954,1346,16336390.36
Watonwan,Minnesota,11211,1135,18908415.04
Cole,Missouri,75990,1018,2290898.5
Callaway,Missouri,44332,2208,4046407.39
Chariton,Missouri,7831,1995,9279903.76
Marion,Missouri,28781,1153,5762224.74
Ralls,Missouri,10167,1257,4396548.66
Schuyler,Missouri,4431,792,1476026.14
Newton,Missouri,58114,1632,3930304.97
Benton,Missouri,19056,1945,2548066.6
Henry,Missouri,22272,1898,4639552.91
Johnson,Missouri,52595,2158,6166507.83
Lafayette,Missouri,33381,1649,10133586.27
Morgan,Missouri,20565,1587,1993634.89
Lawrence,Missouri,38634,1589,2989410.88
Gasconade,Missouri,15222,1345,1467957.17
Maries,Missouri,9176,1374,605526.31
Howell,Missouri,40400,2431,7650053.49
Franklin,Missouri,101492,2399,4106607.66
Lincoln,Missouri,52566,1664,5713940.83
Ste. Genevieve,Missouri,18145,1324,2629052.58
St. Francois,Missouri,65359,1177,1337649.61
Butler,Missouri,42794,1812,15077379.99
Scott,Missouri,39191,1107,12852307.17
Stoddard,Missouri,29968,2152,27128226.69
Mississippi,Missouri,14358,1108,14565798.22
Dunklin,Missouri,31953,1417,15078340.9
Rio Arriba,New Mexico,40246,15194,882375.7
New York,New York,1585873,71,26877201.6
Vance,North Carolina,45422,697,2788033.34
Warren,North Carolina,20972,1150,8858253.24
Gates,North Carolina,12197,884,11201958.74
Washington,North Carolina,13228,971,7939662.33
Chowan,North Carolina,14793,444,3629490.3
Jones,North Carolina,10153,1216,6572733.51
Yadkin,North Carolina,38406,866,4568520.48
Henderson,North Carolina,106740,968,2624446.11
Graham,North Carolina,8861,783,779176.75
Swain,North Carolina,13981,1401,642560.89
Buncombe,North Carolina,238318,1708,5776186.33
Macon,North Carolina,33922,1342,2496746.68
Brown,Ohio,44846,1282,10185368.75
Clermont,Ohio,197363,1189,8572361.38
Mahoning,Ohio,238823,1103,7743605.93
Summit,Ohio,541781,1084,9805211.72
Geauga,Ohio,93389,1058,6224325.61
Gallia,Ohio,30934,1228,4869330.68
Northampton,Pennsylvania,297735,979,7949387.11
Montour,Pennsylvania,18267,344,1215863.62
Fulton,Pennsylvania,14845,1143,3452194.26
Jefferson,Pennsylvania,45200,1699,8254022.58
Lee,South Carolina,19220,1070,7348640.64
Newberry,South Carolina,37508,1669,34556689.05
Oconee,South Carolina,74273,1746,4787412.07
Colleton,South Carolina,38892,2746,24340342.46
Chester,Tennessee,17131,748,2521336.69
Van Buren,Tennessee,5548,710,2907603.51
Lake,Minnesota,10866,5956,3599775.89
Essex,Virginia,11151,674,3796648.14
Newport News,Virginia,180719,179,3426203.62
Amherst,Virginia,32353,1230,5750264.8
Prince William,Virginia,402002,887,7314482.48
Fauquier,Virginia,65203,1692,3302481.71
Spotsylvania,Virginia,122397,1081,6083987.13
Simpson,Mississippi,27503,1537,3639842.68
Stafford,Virginia,128961,703,3926170.88
Westmoreland,Virginia,17454,598,3022126.95
Colonial Heights,Virginia,17411,24,312268.69
Brunswick,Virginia,17434,1482,12478403.55
Albemarle,Virginia,98970,1874,8753085.7
Highland,Virginia,2321,1087,3052955.56
Teton,Montana,6073,5948,7691194.25
Klickitat,Washington,20318,4887,14644987.03
Snohomish,Washington,713335,5451,55856695.8
Mason,Washington,60699,2512,29502538.39
Skamania,Washington,11066,4336,13047798.35
Spokane,Washington,471221,4606,17557565.64
Walla Walla,Washington,58781,3346,19051587.77
Okanogan,Washington,41120,13756,2513475.27
Raleigh,West Virginia,78859,1581,3218523.15
St. Louis,Minnesota,200226,17455,19280058.7
Dakota,Minnesota,398552,1505,21460389.09
Mason,West Virginia,27324,1141,1800584.96
Pocahontas,West Virginia,8719,2443,7654463.32
Gilmer,West Virginia,8693,878,967377.65
Jefferson,West Virginia,53498,551,2452625.11
Somerset,New Jersey,323444,785,5878562.2
Sierra,New Mexico,11988,10987,302835.37
Athens,Ohio,64757,1318,4233346.78
Medina,Ohio,172332,1095,6283083.8
Hamilton,Ohio,802374,1072,14943799.35
Snyder,Pennsylvania,39702,870,9054658.34
Huntingdon,Pennsylvania,45913,2314,7830685.12
Clarion,Pennsylvania,39988,1565,6909422.75
Greene,Pennsylvania,38686,1499,1161514.96
Adams,Pennsylvania,101407,1353,8525768.67
Providence,Rhode Island,626667,1118,9934217.42
Williamsburg,South Carolina,34423,2426,8611030.1
Wright,Minnesota,124700,1835,16032601.77
Winona,Minnesota,51461,1647,11534265.76
Roseau,Minnesota,15629,4341,15973949.84
Galax,Virginia,7042,24,401587.98
Marshall,Mississippi,37144,1831,3734920.99
Madison,Mississippi,95203,1912,11493274.56
Genesee,New York,60079,1275,5639178.56
Morgan,Ohio,15054,1093,1133633.69
Baker,Oregon,16134,8018,2133830.72
Union,Pennsylvania,44947,817,5029152.76
Franklin,Pennsylvania,149618,2001,15199491.81
Berks,Pennsylvania,411442,2244,21548217.85
Blair,Pennsylvania,127089,1362,4827318.55
Union,South Dakota,14399,1204,10846576.07
Cameron,Texas,406220,2463,19869521.56
Washington,Texas,33718,1615,612326.54
Kendall,Texas,33410,1722,548855.25
Wayne,Utah,2778,6392,54153.65
Monongalia,West Virginia,96189,958,4209649.34
Clark,Wisconsin,34690,3157,13483436.47
Vernon,Wisconsin,29773,2113,7129498.79
Dunn,Wisconsin,43857,2236,14449223.22
Worth,Missouri,2171,701,1316909.17
Christian,Missouri,77422,1468,2157610.15
Webster,Missouri,36202,1539,1015598.13
Bates,Missouri,17049,2207,7101085.61
Camden,Missouri,44002,1850,1286315.07
Audrain,Missouri,25529,1800,10241152.11
Fallon,Montana,2890,4198,872244.3
McCone,Montana,1734,6962,7937082.97
Powder River,Montana,1743,8532,467387.91
Prairie,Montana,1179,4535,818163.82
Carter,Montana,1160,8661,781153.95
Yellowstone,Montana,147972,6846,6789917.56
Gallatin,Montana,89513,6848,4746048.6
Cherry,Nebraska,5713,15509,3545829.23
Boyd,Nebraska,2099,1404,1439652.66
Brown,Nebraska,3145,3170,5152889.46
Holt,Nebraska,10435,6261,26990740.78
Grand Forks,North Dakota,66861,3721,27624702.29
Union,Iowa,12534,1103,5684618.13
Emmet,Iowa,10302,1051,16690779.32
Hancock,Iowa,11341,1493,24275763.14
Story,Iowa,89542,1487,23121165.25
Fillmore,Nebraska,5890,1495,25303119.47
Deuel,Nebraska,1941,1137,4250147.21
Stanton,Nebraska,6129,1114,6753804.93
Sherman,Texas,3034,2395,15624939.15
Dickinson,Iowa,16667,1057,13441283.13
Fayette,Alabama,17241,1631,15997716.24
Wilcox,Alabama,11670,2357,13570331.44
Butler,Alabama,20947,2012,4109814.01
Autauga,Alabama,54571,1562,5012369.65
Conecuh,Alabama,13228,2213,5498859.92
Dallas,Alabama,43820,2580,22307187.27
Elmore,Alabama,79303,1693,3522944.75
Escambia,Alabama,38319,2450,19646487.27
Lowndes,Alabama,11299,1881,2651698.02
Franklin,Alabama,31704,1674,2848734.49
Winston,Alabama,24484,1637,10767849.15
Chilton,Alabama,43643,1810,14121883.37
Shelby,Alabama,195085,2086,8325701.36
Talladega,Alabama,82291,1988,4017283.56
Chambers,Alabama,34215,1556,2344176.35
Lamar,Alabama,14564,1565,2537960.46
Greene,Alabama,9045,1707,3570092.12
Hale,Alabama,15760,1698,29385334.53
Pickens,Alabama,19746,2294,12079705.76
Sumter,Alabama,13763,2366,6603598.65
Tuscaloosa,Alabama,194656,3501,18831294.18
Sutter,California,94737,1577,19728922.43
Mariposa,California,18251,3791,405725.18
Kern,California,839631,21119,28150155.2
Mendocino,California,87841,9132,5836643.19
San Benito,California,55269,3603,1095788.7
Lassen,California,34895,12267,4533375.37
Marion,Alabama,30776,1922,5245981.29
Colbert,Alabama,54428,1619,7786045.88
Coffee,Alabama,49948,1760,6356504.58
Ketchikan Gateway,Alaska,13477,3259,242235.81
Santa Clara,California,1781642,3356,33956122.9
Del Norte,California,28610,2642,527664.49
Merced,California,255793,5099,18785297.37
Lake,California,64665,3446,1030610.95
Napa,California,136484,2035,2972285.41
Siskiyou,California,44900,16440,33879727.87
San Diego,California,3095313,11026,52796695.2
Marin,California,252409,1370,4265102.34
Bibb,Alabama,22915,1621,3361397.96
Columbia,Arkansas,24552,1980,25588604.1
Clay,Alabama,13932,1569,3495629.89
Bradley,Arkansas,11508,1695,41070719.62
Calhoun,Arkansas,5368,1633,4684626.54
Drew,Arkansas,18509,2158,12477556.35
Union,Arkansas,41639,2728,27797068.02
Chicot,Arkansas,11800,1788,19935692.05
Randolph,Alabama,22913,1508,2370009.19
Pike,Arkansas,11291,1589,14186469.85
Independence,Arkansas,36647,1999,5740140.19
Jefferson,Arkansas,77435,2364,36187029.13
Lincoln,Arkansas,14134,1505,14574657.76
Stone,Arkansas,12394,1564,3299605.07
White,Arkansas,77076,2697,8774039.63
Lonoke,Arkansas,68356,2088,21363421.4
Prairie,Arkansas,8715,1750,19874323.61
Geneva,Alabama,26790,1498,4147440.25
Henry,Alabama,17302,1455,4533522.31
Houston,Alabama,101547,1497,7662943.89
Barbour,Alabama,27457,2328,6129223.69
Bullock,Alabama,10914,1623,2757266.87
Lee,Alabama,140247,1593,23688158.42
Macon,Alabama,21452,1588,2739629.18
Lawrence,Alabama,34339,1862,14114700.87
Bethel,Alaska,17013,108795,258896.79
Denali,Alaska,1826,30804,35234.24
Bristol Bay,Alaska,997,1301,12341.26
Saline,Arkansas,107118,1890,5701423.06
Baxter,Arkansas,41513,1511,942906.02
Conway,Arkansas,21273,1474,3048846.82
Fulton,Arkansas,12245,1614,1473137.86
Izard,Arkansas,13696,1523,1000323.58
Marion,Arkansas,16653,1653,591788.68
Poinsett,Arkansas,24583,1984,30301747.39
Randolph,Arkansas,17969,1698,6682856.79
Arkansas,Arkansas,19019,2677,33011871.17
Desha,Arkansas,13008,2122,20943497.1
Lee,Arkansas,10424,1597,16130215.77
Monroe,Arkansas,8149,1599,20236423.37
Phillips,Arkansas,21757,1877,24713817.07
Madera,California,150865,5569,5958753.89
Tuolumne,California,55365,5884,2696984.58
Santa Cruz,Arizona,47420,3225,1329320.56
Coconino,Arizona,134421,48319,4778702.5
La Paz,Arizona,20489,11667,2462263.95
Yuma,Arizona,195751,14316,11620868.23
Gila,Arizona,53597,12374,835464.44
Graham,Arizona,37220,12089,2754509.24
Newton,Arkansas,8330,2129,1078078.99
Yolo,California,200849,2642,13222556.21
Kings,California,152982,3592,27752603.3
Sierra,California,3240,2481,669046.12
Los Angeles,California,9818605,10562,177867873.1
Boone,Arkansas,36903,1557,1056684.93
Monterey,California,415057,8606,7281281.6
Mono,California,14202,8118,250711.8
San Luis Obispo,California,269637,8561,4840063.63
Montgomery,Arkansas,9487,2081,1739746.98
Santa Barbara,California,423895,7123,7382991.24
Fresno,California,930450,15580,38786133.5
Tulare,California,442179,12555,26042972.9
Alpine,California,1175,1918,16723.97
Ventura,California,823318,4817,13673909.51
Contra Costa,California,1049025,1897,17769390.27
Cleburne,Arkansas,25970,1536,1924550.58
Dallas,Arkansas,8116,1735,26260107.38
Searcy,Arkansas,8195,1732,2182285.83
Sacramento,California,1418788,2562,30061635.83
Butte,California,220000,4345,21268381.66
San Francisco,California,805235,122,14257131.13
Modoc,California,9686,10882,2147105.33
Cross,Arkansas,17870,1611,19261712.71
Lawrence,Arkansas,17415,1555,15391709.75
Woodruff,Arkansas,7260,1539,17945470.63
Little River,Arkansas,13171,1465,16760462.36
Crawford,Arkansas,61948,1568,2393436.48
Humboldt,California,134623,9304,58291929.83
Santa Cruz,California,262382,1167,4934977.57
Polk,Arkansas,20662,2238,4444630.95
Benton,Arkansas,221339,2264,4829888.25
Franklin,Arkansas,18125,1607,777341.71
Johnson,Arkansas,25540,1763,2073657.64
Madison,Arkansas,15717,2174,6129169.05
Washington,Arkansas,203065,2472,4659215.37
Howard,Arkansas,13789,1542,24442798.71
Archuleta,Colorado,12084,3498,637130.63
New London,Connecticut,274055,1780,4783930.82
Windham,Connecticut,118428,1352,3291475.05
Tolland,Connecticut,152691,1079,2157786.49
Hartford,Connecticut,894014,1944,17001410.01
Fairfield,Connecticut,916829,1686,13608528.78
New Castle,Delaware,538479,1260,12294123.98
Mineral,Colorado,712,2268,17718.78
Ouray,Colorado,4436,1398,84690.99
Sussex,Delaware,197145,2483,20556238.06
Yuma,Colorado,10043,6152,31222373.13
Chaffee,Colorado,17809,2632,343005.41
District of Columbia,District of Columbia,601723,156,14882885.38
Teller,Colorado,23350,1459,384804.35
Seminole,Florida,422718,897,6259433.2
Charlotte,Florida,159978,1837,2482174.59
Miami-Dade,Florida,2496435,5142,41259747.8
Palm Beach,Florida,1320134,5743,160363198.4
Glades,Florida,12884,2558,17820265.82
Highlands,Florida,98786,2869,1421799.4
Kit Carson,Colorado,8270,5605,16583491.58
Logan,Colorado,22709,4797,14252389.07
Morgan,Colorado,28159,3356,11423115.54
Okeechobee,Florida,39996,2302,17824580.52
Martin,Florida,146318,1713,2022505.33
Sedgwick,Colorado,2379,1432,5690140.34
St. Lucie,Florida,277789,1504,3743763.85
Wakulla,Florida,30776,1596,895588.65
Gadsden,Florida,46389,1371,5171966.62
Clay,Florida,190865,1628,4964886.1
St. Johns,Florida,190039,1577,9599793.7
Dixie,Florida,16422,1841,17874552.38
Duval,Florida,864263,1966,24195155.81
Lake,Florida,297052,3007,4622467.84
Nassau,Florida,73314,1685,19349286.36
Jefferson,Florida,14761,1587,1475454.14
Sumter,Florida,93420,1503,5700095.67
Lafayette,Florida,8870,1419,4786610.74
Leon,Florida,275487,1822,7194662.46
Taylor,Florida,22570,2713,35927079.39
Baker,Florida,27115,1527,1712702.44
Rio Grande,Colorado,11982,2380,1769536.75
Suwannee,Florida,41551,1799,6094080.94
Union,Florida,15535,651,10345948.64
Columbia,Florida,67531,2073,7083762.38
Alachua,Florida,247336,2507,6162989.88
Marion,Florida,331298,4314,7222217.42
Pasco,Florida,464697,1978,6281631.78
Putnam,Florida,74364,2011,3801818.44
Hendry,Florida,39140,3089,37825797.32
Bent,Colorado,6499,4001,2221598.23
Monroe,Florida,73090,2715,1336271.69
Orange,Florida,1145956,2598,16831987.05
Banks,Georgia,18395,605,576748.91
Barrow,Georgia,69367,421,1262968.1
Cheyenne,Colorado,1836,4616,6548251.1
Santa Rosa,Florida,151372,2658,6437899.75
Floyd,Georgia,96317,1346,28635759.94
Walker,Georgia,68756,1160,2055382.31
Fulton,Georgia,920581,1382,17995829.13
Chattooga,Georgia,26015,812,2277391.25
Gilmer,Georgia,28292,1118,2566407.97
Cobb,Georgia,688078,895,11865721.26
Clayton,Georgia,259424,375,3793432.46
Henry,Georgia,203922,839,3550136.05
Prowers,Colorado,12551,4242,6318948.84
Litchfield,Connecticut,189927,2455,3210267.86
Middlesex,Connecticut,165676,993,2485860.76
New Haven,Connecticut,862477,1605,13420006.75
DeSoto,Florida,34862,1654,688596.89
Hillsborough,Florida,1229226,2759,24189275.2
Rockdale,Georgia,85215,343,1278576.71
Glascock,Georgia,3082,374,1241516.2
Richmond,Georgia,200549,850,27458789.29
Taliaferro,Georgia,1717,506,1027694.72
Warren,Georgia,5834,743,9283151.03
Whitfield,Georgia,102599,755,2509605.46
Rabun,Georgia,16276,979,453814.88
Clarke,Georgia,116714,313,1940884.67
Oconee,Georgia,32808,483,789803.1
Oglethorpe,Georgia,14899,1144,1718875.31
Lincoln,Georgia,7996,673,1009387.59
Putnam,Georgia,21218,934,1721779.89
Monroe,Georgia,26424,1028,2345150.75
Hardee,Florida,27731,1653,374855.44
Lee,Florida,618754,2132,8684889.29
Manatee,Florida,322833,1956,4647965.81
Polk,Florida,602095,5214,8363973.85
Collier,Florida,321520,5327,5084935.24
Broward,Florida,1748066,3174,25057803.51
Escambia,Florida,297619,1775,6835417.6
Walton,Florida,55043,2773,3334754.14
Washington,Florida,24896,1592,3351653.51
Bay,Florida,168852,1972,6750280.63
Calhoun,Florida,14625,1489,6015736.19
Gulf,Florida,15863,1512,2344363.59
Jackson,Florida,49746,2476,40009657.16
Franklin,Florida,11549,1433,597001.18
Bleckley,Georgia,13063,568,2878343.65
Nez Perce,Idaho,39265,2209,6472711.85
Lewis,Idaho,3821,1240,20956002.31
Ada,Idaho,392365,2716,9811441.67
Shoshone,Idaho,12765,6817,7091278.97
Benewah,Idaho,9285,2037,29422426.93
Valley,Idaho,9862,9672,5407432.03
Payette,Idaho,22623,1062,2509345.54
Jenkins,Georgia,8340,914,4423993.81
Screven,Georgia,14593,1700,7104075.77
Macon,Georgia,14740,1046,3550596.81
Jeff Davis,Georgia,15068,867,18303814.4
Catoosa,Georgia,63942,423,1369134.12
Wilcox,Georgia,9255,992,6533967
Dade,Georgia,16633,452,262850.66
Haralson,Georgia,28780,733,1737693.06
Polk,Georgia,41475,803,3269134.72
Pickens,Georgia,29431,602,950481.54
Paulding,Georgia,142324,821,3224459.27
Webster,Georgia,2799,544,1868295.11
Heard,Georgia,11834,784,1510276.01
Troup,Georgia,67044,1158,3451482.99
Miller,Georgia,6125,735,3703705.74
Lamar,Georgia,18317,482,21545614.54
Schley,Georgia,5010,438,1527779.24
Bartow,Georgia,100157,1220,4162392.54
Honolulu,Hawaii,953207,1581,25351661.01
Boundary,Idaho,10972,3312,12939169.59
Lemhi,Idaho,7936,11840,372415.55
Oneida,Idaho,4286,3126,902952.91
Power,Idaho,7817,3733,6439468.28
Blaine,Idaho,21376,6906,1721269.59
Camas,Idaho,1117,2781,436453.81
Lincoln,Idaho,5208,3110,2136152.16
Minidoka,Idaho,20069,1982,6993776.14
Twin Falls,Idaho,77230,5001,11275133.33
Clark,Idaho,982,4570,1072969.89
Fremont,Idaho,13242,4908,6220809.48
Jefferson,Idaho,26140,2860,7177150.25
Lawrence,Illinois,16833,966,8570300.02
Stephenson,Illinois,47711,1457,17537244.24
Clark,Illinois,16335,1313,8971631.94
Calhoun,Illinois,5089,731,1868188.27
Massac,Illinois,15429,634,3024661.54
Henderson,Illinois,7331,1027,11358385.19
Warren,Illinois,17707,1402,23604006.63
McDonough,Illinois,32612,1522,19168702.12
Morgan,Illinois,35547,1490,17486761.76
Scott,Illinois,5355,653,7353556.25
Union,Illinois,17808,1098,2724249.36
Bond,Illinois,17768,991,6952429.87
Jefferson,Illinois,38827,1505,5626384.75
Marion,Illinois,39437,1488,7888434.35
Hamilton,Illinois,8457,1126,6637725.89
Wayne,Illinois,16760,1861,11871067.92
Cumberland,Illinois,11048,901,5090181.93
Effingham,Illinois,34242,1248,12047541.07
Jasper,Illinois,9698,1291,8044674.71
Hardin,Illinois,4320,471,161696.71
Saline,Illinois,24913,1000,4249704.45
Iroquois,Illinois,29718,2905,39289303.01
Macon,Illinois,110768,1524,24457453.27
Vermilion,Illinois,81625,2344,26721157.5
De Witt,Illinois,16561,1047,13160477.04
Logan,Illinois,30305,1607,20250699.05
Champaign,Illinois,201081,2583,39686344.96
Coles,Illinois,53873,1325,13244561.15
Douglas,Illinois,19980,1080,14383620.15
Ford,Illinois,14081,1258,14827992.14
Moultrie,Illinois,14846,889,12596468.23
Piatt,Illinois,16729,1142,17334921.59
Edgar,Illinois,18576,1614,17205709.85
Carroll,Illinois,15387,1213,16800362.31
Marshall,Illinois,12640,1036,12107980.92
Putnam,Illinois,6006,441,3491100.57
Boone,Illinois,54165,733,8788003.16
Stark,Illinois,5994,748,11539769.69
Kendall,Illinois,114736,837,9138223.31
Johnson,Indiana,139654,825,9668446.86
Clay,Indiana,26890,926,9307767.15
Lake,Indiana,496005,1302,17358218.4
Gibson,Indiana,33503,1290,12820187.78
Knox,Indiana,38440,1371,15556181.3
Pike,Indiana,12845,883,3007032.48
Spencer,Indiana,20952,1051,6358669.03
Switzerland,Indiana,10613,581,808960.78
Decatur,Indiana,25740,969,9742337.12
Ripley,Indiana,28818,1153,7308467.81
Bartholomew,Indiana,76794,1063,9782153.46
Brown,Indiana,15242,821,2654133.35
Greene,Indiana,33165,1396,9998872.95
Owen,Indiana,21575,1003,4205592.33
Martin,Indiana,10334,886,2663213.33
Lawrence,Indiana,46134,1185,3585039.57
Orange,Indiana,19840,1048,4955653.61
Osceola,Iowa,6462,1046,19684253.17
Vigo,Indiana,107848,1067,13179054.15
Plymouth,Iowa,24986,2239,29578496.65
Menifee,Kentucky,6306,534,776937.21
Franklin,Indiana,23087,1016,4287473.37
Rockcastle,Kentucky,17056,821,1181072.51
Carroll,Indiana,20155,969,14546616.85
Benton,Indiana,8854,1050,16073989.47
Newton,Indiana,14244,1045,12766101.68
Clinton,Indiana,33224,1044,17815103.51
Boone,Indiana,56640,1101,12508706.71
Howard,Indiana,82752,765,12398184.99
Tipton,Indiana,15936,672,12140692.57
Montgomery,Indiana,38124,1312,14362625.96
Hancock,Indiana,70002,793,9671546.46
Shelby,Indiana,44436,1068,10560341.21
Jasper,Indiana,33478,1445,18563154.56
Pulaski,Indiana,13402,1125,11002563.72
Starke,Indiana,23363,809,5475445.5
Mercer,New Jersey,366513,590,6794169.26
Cass,Indiana,38966,1066,12461560.89
Fulton,Indiana,20836,961,12114909.21
Kosciusko,Indiana,77358,1440,15334158.59
Marshall,Indiana,47051,1165,11409790.78
Miami,Indiana,36903,981,10638579.6
Wabash,Indiana,32888,1090,11651782.37
DeKalb,Indiana,42223,943,7428226.1
Huntington,Indiana,37124,1005,11914842.97
Noble,Indiana,47536,1084,9852591.26
Whitley,Indiana,33292,876,7987151.13
Adams,Indiana,34387,880,12323942.04
Fayette,Indiana,24277,557,3773645.27
Menominee,Wisconsin,4232,946,5166307.48
Henry,Indiana,49462,1018,11752195.91
Rush,Indiana,17392,1061,9982897.56
Blackford,Indiana,12766,427,6549699.99
Big Horn,Wyoming,11668,8176,1667107.34
Weston,Wyoming,7208,6231,145005.47
Niobrara,Wyoming,2484,6827,150501.93
Lincoln,Wyoming,18106,10595,551131.93
Sweetwater,Wyoming,43806,27170,750034.41
Park,Wyoming,28205,18026,2391423.73
Uinta,Wyoming,21118,5397,1536646.47
Converse,Wyoming,13833,11021,321172.51
Goshen,Wyoming,13249,5768,3272350.22
Campbell,Wyoming,46133,12431,930920.08
Washakie,Wyoming,8533,5850,999000.6
Crook,Wyoming,7083,7422,3810779.39
Laramie,Wyoming,91738,6938,6865367.25
Platte,Wyoming,8667,5472,971417.64
Chippewa,Minnesota,12441,1536,22372497.08
Delaware,Indiana,117671,1029,11868782.47
Grant,Indiana,70061,1081,13667732.3
Jay,Indiana,21253,990,10783555.79
Randolph,Indiana,26171,1169,13036317.51
Wayne,Indiana,68917,1047,8383476.03
Elkhart,Indiana,197559,1211,17227920
LaGrange,Indiana,37128,1001,9070207.76
Steuben,Indiana,34185,836,4477110.35
Cherokee,Iowa,12072,1493,24987421.06
Haskell,Kansas,4256,1494,17115680.26
Manassas Park,Virginia,14273,7,235139.89
Mills,Iowa,15059,1133,12758437.23
Bourbon,Kentucky,19985,756,1110608.47
Clark,Kentucky,35613,659,1180681.4
Estill,Kentucky,14672,663,2040444.74
Breathitt,Kentucky,13878,1283,1194239.15
Elliott,Kentucky,7852,606,679151.82
