County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Rockbridge,Virginia,22307,1551,8613263.64
Benton,Washington,175177,4546,10549246.97
Covington,Alabama,37765,2706,5727606.29
Crenshaw,Alabama,13906,1577,5435853.81
Pike,Alabama,32899,1742,3310516.03
Pope,Arkansas,61754,2153,21511680.04
Carroll,Arkansas,27446,1650,852204.37
Pueblo,Colorado,159063,6223,2921309.77
Baca,Colorado,3788,6603,8535525.95
Otero,Colorado,18831,3287,2152108.62
Dolores,Colorado,2064,2781,346233.15
Mesa,Colorado,146723,8698,3357105.8
Evans,Georgia,11000,484,1434119.93
Long,Georgia,14464,1046,3210281
Tattnall,Georgia,25520,1267,3850212.7
Bingham,Idaho,45607,5475,14936054.78
Caribou,Idaho,6963,4662,3757741.63
Franklin,Idaho,12786,1732,2007636.18
Madison,Idaho,37536,1219,6132912.85
Adams,Idaho,3976,3536,1053921.65
Washington,Indiana,28262,1340,11072174.25
Clark,Indiana,110232,979,5957745.24
Johnson,Iowa,130882,1615,18400526.58
Washington,Iowa,21704,1479,18988898.4
Wabaunsee,Kansas,7053,2066,1817348.58
Ohio,Kentucky,23842,1547,15491874.26
Choctaw,Mississippi,8547,1082,8107789.76
Stone,Missouri,32202,1324,873460.87
Washington,Missouri,25195,1980,3576282.22
Humboldt,Nevada,16528,25040,1114033.95
White Pine,Nevada,10030,23039,169589.6
Lander,Nevada,5775,14303,90436.96
Elko,Nevada,48818,44541,1341396.88
Mineral,Nevada,4772,9885,71466.06
Lyon,Nevada,51980,5223,861840.08
Nye,Nevada,43946,47052,604296.69
Carson City,Nevada,55274,408,1464993.17
Lincoln,North Carolina,78265,803,5535415.65
Mountrail,North Dakota,7673,5024,11958721.09
Williams,North Dakota,22398,5555,13649055.45
Delaware,Oklahoma,41487,2061,2595857.76
Tillman,Oklahoma,7992,2284,5690724.1
Coos,Oregon,63043,4170,30840179.72
Jefferson,Oregon,21720,4635,2677740.19
Wheeler,Oregon,1441,4428,216070.28
Tillamook,Oregon,25250,2847,25470745.18
Lake,Oregon,7895,21575,1439131.53
Stanley,South Dakota,2966,3941,4267111.75
Custer,South Dakota,8216,4041,1130274.95
Brown,South Dakota,36531,4491,45799897.96
Gregory,South Dakota,4271,2721,3448727.67
Dyer,Tennessee,38335,1371,9560104.39
Bedford,Tennessee,45058,1237,1737692.1
Cannon,Tennessee,13801,685,1528679.43
Rhea,Tennessee,31809,876,2118809.06
Orange,Texas,81837,984,7730502.47
DeWitt,Texas,20097,2351,614252.19
Dallas,Texas,2368139,2352,45019996.8
Parker,Texas,116927,2385,2251562.18
Reeves,Texas,13783,6809,541421.73
Lampasas,Texas,19677,1843,311189.43
Bosque,Texas,18212,2596,717957.83
Cooke,Texas,38437,2301,1831848.58
Montague,Texas,19719,2453,514390.29
Jim Wells,Texas,40838,2252,3396540.28
Loudoun,Virginia,312311,1354,8413201.66
Hopewell,Virginia,22591,28,779051.98
Trempealeau,Wisconsin,28816,1923,8691457.2
Burnett,Wisconsin,15457,2264,4580062.36
Outagamie,Wisconsin,176695,1664,16989284.82
Grant,Wisconsin,51208,3057,13955396.12
McIntosh,Georgia,14333,1147,1844066.31
Parke,Indiana,17339,1171,7944610.73
Van Buren,Arkansas,17295,1882,3200283.52
Greene,Arkansas,42090,1497,19447947.12
Jackson,Arkansas,17997,1663,19951935.88
Floyd,Indiana,74578,385,2173253.92
Martin,Kentucky,12929,600,1144795.28
Schoolcraft,Michigan,8485,3177,1934635.33
Franklin,North Carolina,60619,1270,8120903.67
Burke,North Carolina,90912,1349,4189900.59
Cherokee,North Carolina,27444,1208,2025946.85
Pickens,South Carolina,119224,1330,4842354.51
Lee,Virginia,25587,1135,3481141.24
Lunenburg,Virginia,12914,1115,3420737.78
Phillips,Montana,4253,13529,5660852.95
Livingston,New York,65393,1650,8454540.69
