County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Summers,West Virginia,13927,945,128761.16
Sioux,Nebraska,1311,5367,4124317734
Morris,Texas,12934,677,469879414.4
San Joaquin,California,685306,3684,5744764735
Faulkner,Arkansas,113237,1718,1284966581
Solano,California,413344,2181,2285250175
Greene,Georgia,15994,1053,516814332.6
Kalawao,Hawaii,90,42,0
Jackson,Kentucky,13494,900,1723292.14
Terrebonne,Louisiana,111860,3689,297661928
La Salle,Louisiana,14890,1716,1542996314
Androscoggin,Maine,107702,1288,276979697.4
Prince George's,Maryland,863420,1259,261222700.5
Houghton,Michigan,36628,2630,1354945558
Valley,Montana,7369,13122,11381881085
Rosebud,Montana,9233,12993,6396139819
Hunterdon,New Jersey,128349,1136,356616741.4
Wyoming,New York,42155,1556,656540306.9
Guilford,North Carolina,488406,1710,1043839545
Charleston,South Carolina,350209,2533,1402992944
York,South Carolina,226073,1791,866916220.4
Greenwood,South Carolina,69661,1200,897898079
Platte,Missouri,89322,1084,490945257.4
Cabell,West Virginia,96319,735,8651620.56
Kent,Rhode Island,166158,451,41949575.9
Shelby,Tennessee,927644,2023,1268907240
Sevier,Utah,20802,4992,685952555
Greensville,Virginia,12243,766,774657286.2
Rockbridge,Virginia,22307,1551,19814785.28
Benton,Washington,175177,4546,2964297061
Covington,Alabama,37765,2706,2216255971
Crenshaw,Alabama,13906,1577,960511770
Pike,Alabama,32899,1742,720537895.6
Pope,Arkansas,61754,2153,594478402.2
Carroll,Arkansas,27446,1650,75990280.74
Pueblo,Colorado,159063,6223,7826649761
Baca,Colorado,3788,6603,12229026778
Otero,Colorado,18831,3287,5507460941
Dolores,Colorado,2064,2781,753555306.7
Mesa,Colorado,146723,8698,1469581860
Evans,Georgia,11000,484,532143416.1
Long,Georgia,14464,1046,1041328185
Tattnall,Georgia,25520,1267,1376502566
Bingham,Idaho,45607,5475,5572825854
Caribou,Idaho,6963,4662,1566242403
Franklin,Idaho,12786,1732,418814293.8
Madison,Idaho,37536,1219,741701204.5
